"Week","Status","Total Volume","California","Chile","Mexico","Peru","Colombia"
"Jan 7, 2018","Actual","45,670,156","899,349","519,433","44,251,374","0","0"
"Jan 14, 2018","Actual","52,758,905","830,821","449,003","51,479,081","0","0"
"Jan 21, 2018","Actual","54,698,266","2,913,663","445,127","51,339,476","0","0"
"Jan 28, 2018","Actual","45,299,201","2,698,356","95,491","42,505,354","0","0"
"Feb 4, 2018","Actual","47,371,481","2,635,471","0","44,736,010","0","0"
"Feb 11, 2018","Actual","39,307,402","3,039,843","0","36,267,559","0","0"
"Feb 18, 2018","Actual","51,204,346","4,264,449","0","46,939,897","0","0"
"Feb 25, 2018","Actual","53,018,743","5,031,685","0","47,987,058","0","0"
"Mar 4, 2018","Actual","50,628,975","4,863,680","0","45,765,295","0","0"
"Mar 11, 2018","Actual","52,057,338","6,816,044","0","45,241,294","0","0"
"Mar 18, 2018","Actual","51,922,869","4,143,387","0","47,779,482","0","0"
"Mar 25, 2018","Actual","45,807,126","4,997,613","0","40,809,513","0","0"
"Apr 1, 2018","Actual","39,158,603","8,244,614","0","30,913,989","0","0"
"Apr 8, 2018","Actual","57,742,874","10,978,270","0","46,764,604","0","0"
"Apr 15, 2018","Actual","65,017,211","13,069,634","0","51,947,577","0","0"
"Apr 22, 2018","Actual","66,889,496","14,568,602","0","52,320,894","0","0"
"Apr 29, 2018","Actual","57,879,711","16,473,176","0","41,406,535","0","0"
"May 6, 2018","Actual","43,454,036","13,377,497","0","29,744,685","331,854","0"
"May 13, 2018","Actual","49,634,250","13,013,238","0","36,478,789","142,223","0"
"May 20, 2018","Actual","54,804,644","13,573,634","0","40,946,564","284,446","0"
"May 27, 2018","Actual","58,216,425","14,293,995","0","41,926,134","1,996,296","0"
"Jun 3, 2018","Actual","54,230,134","9,832,339","0","39,826,579","4,571,216","0"
"Jun 10, 2018","Actual","54,216,347","12,776,858","0","35,859,311","5,580,178","0"
"Jun 17, 2018","Actual","50,646,896","12,202,533","0","31,575,868","6,868,495","0"
"Jun 24, 2018","Actual","49,126,245","11,017,628","0","30,306,824","7,801,793","0"
"Jul 1, 2018","Actual","59,868,501","13,034,205","0","37,779,422","9,054,874","0"
"Jul 8, 2018","Actual","54,802,659","11,546,402","0","34,059,160","9,197,097","0"
"Jul 15, 2018","Actual","52,741,471","13,081,786","0","27,618,124","12,041,561","0"
"Jul 22, 2018","Actual","43,482,853","8,956,463","0","22,437,422","12,088,968","0"
"Jul 29, 2018","Actual","49,443,206","6,963,066","0","25,600,735","16,879,405","0"
"Aug 5, 2018","Actual","52,948,354","6,652,168","0","29,039,776","17,256,410","0"
"Aug 12, 2018","Actual","56,626,601","7,234,836","0","34,221,295","15,170,470","0"
"Aug 19, 2018","Actual","56,452,066","8,625,095","331,267","34,031,913","13,463,791","0"
"Aug 26, 2018","Actual","48,011,570","8,826,173","705,204","25,537,886","12,942,307","0"
"Sep 2, 2018","Actual","38,516,499","5,955,763","1,833,426","17,927,226","12,800,084","0"
"Sep 9, 2018","Actual","44,091,358","3,157,120","1,505,218","30,089,700","9,339,320","0"
"Sep 16, 2018","Actual","51,398,671","3,782,736","6,299,540","35,153,392","6,163,003","0"
"Sep 23, 2018","Actual","49,322,205","3,042,322","5,695,958","36,691,752","3,892,173","0"
"Sep 30, 2018","Actual","39,213,471","1,962,416","5,315,922","29,517,339","2,417,794","0"
"Oct 7, 2018","Actual","44,622,910","1,459,548","4,141,118","38,216,313","805,931","0"
"Oct 14, 2018","Actual","43,609,892","798,732","3,241,640","39,427,297","142,223","0"
"Oct 21, 2018","Actual","41,484,288","786,902","2,002,066","38,695,320","0","0"
"Oct 28, 2018","Actual","43,424,770","332,800","2,480,207","40,611,763","0","0"
"Nov 4, 2018","Actual","15,760,324","0","2,283,410","13,476,914","0","0"
"Nov 11, 2018","Actual","7,175,415","0","2,322,562","4,852,853","0","0"
"Nov 18, 2018","Actual","44,931,673","0","3,513,150","41,418,523","0","0"
"Nov 25, 2018","Actual","70,104,497","0","1,834,643","68,269,854","0","0"
"Dec 2, 2018","Actual","55,202,354","0","2,377,770","52,824,584","0","0"
"Dec 9, 2018","Actual","55,009,729","0","3,544,679","51,465,050","0","0"
"Dec 16, 2018","Actual","50,045,775","1,900","3,218,701","46,825,174","0","0"
"Dec 23, 2018","Actual","47,448,337","950","2,105,644","45,341,743","0","0"
"Dec 30, 2018","Actual","33,740,596","1,800","1,856,008","31,882,788","0","0"
